MoveIt! version 65804
Experiment unfurl
Running on ML003
Starting at 2023-Jun-22 15:29:18.622698
<<<|
|>>>
0 is the random seed
5 seconds per run
-1 MB per run
15.4745 seconds spent to collect the data
0 enum types
4 planners
rrtconnect
0 common properties
20 properties for each run
time REAL
success BOOLEAN
correct BOOLEAN
length REAL
machine_hostname VARCHAR(128)
machine_process_id BIGINT
machine_thread_id BIGINT
query_finish_time REAL
query_index INT
query_start_time REAL
query_timeout_trial INT
query_trial INT
request_group_name VARCHAR(128)
request_num_planning_attempts INT
request_planner_id VARCHAR(128)
request_planner_type VARCHAR(128)
robowflex_planner_name VARCHAR(128)
robowflex_robot_name VARCHAR(128)
smoothness REAL
waypoints INT
200 runs
0.152563; 1; 1; 4.5810275376269924; ML003; 22317; 140669075121920; 0.92529600000000001; 0; 0.772733; 0; 29; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 7.2209627617896359e-17; 123; 
0.102151; 1; 1; 4.5810275376269933; ML003; 22317; 140669083514624; 0.99774399999999996; 0; 0.89559299999999997; 0; 33; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 9.3872515903265274e-17; 123; 
0.085111; 1; 1; 4.5810275376269907; ML003; 22317; 140669075121920; 1.0131300000000001; 0; 0.92801900000000004; 0; 36; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 9.3872515903265274e-17; 123; 
0.117403; 1; 1; 4.5810275376269916; ML003; 22317; 140669058336512; 1.0156559999999999; 0; 0.89825299999999997; 0; 34; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 1.1553540418863419e-16; 123; 
0.142516; 1; 1; 4.5810275376269924; ML003; 22317; 140669066729216; 1.0644880000000001; 0; 0.92197200000000001; 0; 35; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 1.1553540418863419e-16; 123; 
0.06912; 1; 1; 4.5810275376269916; ML003; 22317; 140669075121920; 1.085172; 0; 1.016052; 0; 38; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 7.9430590379685997e-17; 123; 
0.084654; 1; 1; 4.5810275376269916; ML003; 22317; 140669083514624; 1.0852200000000001; 0; 1.0005660000000001; 0; 37; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 1.2997732971221344e-16; 123; 
0.094752; 1; 1; 4.5810275376269933; ML003; 22317; 140669058336512; 1.1155269999999999; 0; 1.020775; 0; 39; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 7.9430590379685997e-17; 123; 
0.050851; 1; 1; 4.5810275376269907; ML003; 22317; 140669083514624; 1.139678; 0; 1.088827; 0; 42; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 9.3872515903265274e-17; 123; 
0.060692; 1; 1; 4.5810275376269916; ML003; 22317; 140669075121920; 1.148725; 0; 1.088033; 0; 41; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 9.3872515903265274e-17; 123; 
0.083612; 1; 1; 4.5810275376269924; ML003; 22317; 140669066729216; 1.15344; 0; 1.069828; 0; 40; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 7.2209627617896359e-17; 123; 
0.083434; 1; 1; 4.5810275376269916; ML003; 22317; 140669058336512; 1.204237; 0; 1.120803; 0; 43; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 7.9430590379685997e-17; 123; 
